date,salescount
1/2/2016,20
1/3/2016,13
1/4/2016,32
1/5/2016,29
1/6/2016,30
1/7/2016,35
1/8/2016,37
1/9/2016,21
1/10/2016,16
1/11/2016,44
1/12/2016,31
1/13/2016,32
1/14/2016,43
1/15/2016,42
1/16/2016,22
1/17/2016,11
1/18/2016,22
1/19/2016,41
1/20/2016,32
1/21/2016,44
1/22/2016,32
1/23/2016,16
1/24/2016,20
1/25/2016,43
1/26/2016,32
1/27/2016,35
1/28/2016,26
1/29/2016,35
1/30/2016,26
1/31/2016,16
2/1/2016,0
2/2/2016,35
2/3/2016,36
2/4/2016,40
2/5/2016,37
2/6/2016,28
2/7/2016,14
2/8/2016,26
2/9/2016,37
2/10/2016,49
2/11/2016,50
2/12/2016,37
2/13/2016,26
2/14/2016,15
2/15/2016,40
2/16/2016,39
2/17/2016,44
2/18/2016,42
2/19/2016,45
2/20/2016,24
2/21/2016,27
2/22/2016,35
2/23/2016,51
2/24/2016,42
2/25/2016,0
2/26/2016,43
2/27/2016,30
2/28/2016,17
2/29/2016,49
3/1/2016,42
3/2/2016,41
3/3/2016,44
3/4/2016,44
3/5/2016,0
3/6/2016,12
3/7/2016,40
3/8/2016,45
3/9/2016,43
3/10/2016,48
3/11/2016,40
3/12/2016,20
3/13/2016,23
3/14/2016,47
3/15/2016,32
3/16/2016,46
3/17/2016,22
3/18/2016,32
3/19/2016,24
3/20/2016,20
3/21/2016,39
3/22/2016,48
3/23/2016,43
3/24/2016,50
3/25/2016,39
3/26/2016,19
3/27/2016,0
3/28/2016,44
3/29/2016,39
3/30/2016,45
3/31/2016,34
4/1/2016,37
4/2/2016,30
4/3/2016,13
4/4/2016,34
4/5/2016,54
4/6/2016,47
4/7/2016,48
4/8/2016,35
4/9/2016,34
4/10/2016,11
4/11/2016,46
4/12/2016,44
4/13/2016,56
4/14/2016,51
4/15/2016,27
4/16/2016,19
4/17/2016,26
4/18/2016,57
4/19/2016,37
4/20/2016,41
4/21/2016,30
4/22/2016,41
4/23/2016,31
4/24/2016,27
4/25/2016,37
4/26/2016,38
4/27/2016,32
4/28/2016,40
4/29/2016,48
4/30/2016,34
5/1/2016,24
5/2/2016,38
5/3/2016,37
5/4/2016,41
5/5/2016,33
5/6/2016,28
5/7/2016,22
5/8/2016,18
5/9/2016,42
5/10/2016,35
5/11/2016,46
5/12/2016,44
5/13/2016,29
5/14/2016,18
5/15/2016,23
5/16/2016,39
5/17/2016,38
5/18/2016,29
5/19/2016,48
5/20/2016,35
5/21/2016,22
5/22/2016,27
5/23/2016,40
5/24/2016,46
5/25/2016,41
5/26/2016,36
5/27/2016,25
5/28/2016,18
5/29/2016,14
5/30/2016,14
5/31/2016,42
6/1/2016,41
6/2/2016,37
6/3/2016,30
6/4/2016,16
6/5/2016,25
6/6/2016,42
6/7/2016,27
6/8/2016,0
6/9/2016,34
6/10/2016,28
6/11/2016,22
6/12/2016,26
6/13/2016,31
6/14/2016,44
6/15/2016,36
6/16/2016,28
6/17/2016,21
6/18/2016,31
6/19/2016,16
6/20/2016,33
6/21/2016,46
6/22/2016,30
6/23/2016,50
6/24/2016,33
6/25/2016,23
6/26/2016,21
6/27/2016,22
6/28/2016,30
6/29/2016,36
6/30/2016,24
7/1/2016,36
7/2/2016,20
7/3/2016,18
7/4/2016,10
7/5/2016,35
7/6/2016,0
7/7/2016,0
7/8/2016,28
7/9/2016,22
7/10/2016,22
7/11/2016,30
7/12/2016,42
7/13/2016,41
7/14/2016,30
7/15/2016,30
7/16/2016,20
7/17/2016,23
7/18/2016,35
7/19/2016,27
7/20/2016,38
7/21/2016,38
7/22/2016,28
7/23/2016,29
7/24/2016,21
7/25/2016,28
7/26/2016,34
7/27/2016,29
7/28/2016,45
7/29/2016,32
7/30/2016,29
7/31/2016,28
8/1/2016,37
8/2/2016,34
8/3/2016,39
8/4/2016,32
8/5/2016,35
8/6/2016,18
8/7/2016,14
8/8/2016,28
8/9/2016,37
8/10/2016,34
8/11/2016,31
8/12/2016,35
8/13/2016,20
8/14/2016,17
8/15/2016,37
8/16/2016,43
8/17/2016,41
8/18/2016,36
8/19/2016,33
8/20/2016,24
8/21/2016,20
8/22/2016,20
8/23/2016,30
8/24/2016,36
8/25/2016,38
8/26/2016,30
8/27/2016,26
8/28/2016,19
8/29/2016,28
8/30/2016,30
8/31/2016,32
9/1/2016,49
9/2/2016,28
9/3/2016,16
9/4/2016,20
9/5/2016,0
9/6/2016,0
9/7/2016,38
9/8/2016,30
9/9/2016,20
